month,country,channel,spend_eur,impressions,clicks
2023-01-01,Cyprus,paid_search,5297.59,436119,6239
2023-01-01,Cyprus,social,7356.06,970683,12405
2023-01-01,Cyprus,affiliate,7560.23,754111,15649
2023-01-01,Cyprus,display,6662.82,854790,11787
2023-01-01,Serbia,paid_search,6494.97,1017813,15320
2023-01-01,Serbia,social,4866.58,712895,22023
2023-01-01,Serbia,affiliate,8595.63,1121648,36790
2023-01-01,Serbia,display,10998.93,1757359,30809
2023-02-01,Cyprus,paid_search,7498.34,674097,16443
2023-02-01,Cyprus,social,3756.2,353659,8698
2023-02-01,Cyprus,affiliate,4155.55,443408,20579
2023-02-01,Cyprus,display,8782.13,995112,18177
2023-02-01,Serbia,paid_search,7361.02,651652,26274
2023-02-01,Serbia,social,5206.07,655861,16176
2023-02-01,Serbia,affiliate,6064.52,458717,15331
2023-02-01,Serbia,display,11010.82,1539756,53438
2023-03-01,Cyprus,paid_search,10422.95,787189,23685
2023-03-01,Cyprus,social,8486.54,1289605,15553
2023-03-01,Cyprus,affiliate,3961.02,312989,8570
2023-03-01,Cyprus,display,7468.16,980766,24256
2023-03-01,Serbia,paid_search,5516.3,528454,19426
2023-03-01,Serbia,social,9345.7,1159295,21821
2023-03-01,Serbia,affiliate,9332.84,1389234,60423
2023-03-01,Serbia,display,11914.45,1707711,27398
2023-04-01,Cyprus,paid_search,8666.18,1194995,31240
2023-04-01,Cyprus,social,5959.71,502705,16006
2023-04-01,Cyprus,affiliate,5256.93,705422,32463
2023-04-01,Cyprus,display,7929.95,636952,8377
2023-04-01,Serbia,paid_search,12035.48,1923698,56191
2023-04-01,Serbia,social,9122,873743,14107
2023-04-01,Serbia,affiliate,12733.67,1416583,46198
2023-04-01,Serbia,display,12541.09,1289857,24857
2023-05-01,Cyprus,paid_search,4428.06,381493,9096
2023-05-01,Cyprus,social,7206.66,729132,24165
2023-05-01,Cyprus,affiliate,3792.98,600775,20301
2023-05-01,Cyprus,display,10805.98,1129075,34249
2023-05-01,Serbia,paid_search,4429.11,605520,14204
2023-05-01,Serbia,social,12953.89,850094,15191
2023-05-01,Serbia,affiliate,5794.46,613804,27306
2023-05-01,Serbia,display,6643.24,964325,40678
2023-06-01,Cyprus,paid_search,8488.5,567758,24889
2023-06-01,Cyprus,social,5001.83,578295,7652
2023-06-01,Cyprus,affiliate,6756.57,571657,10512
2023-06-01,Cyprus,display,10478.13,1480436,23205
2023-06-01,Serbia,paid_search,10098.93,1032134,13717
2023-06-01,Serbia,social,11724.26,1490648,34002
2023-06-01,Serbia,affiliate,10229.89,1589401,46929
2023-06-01,Serbia,display,11303.71,925181,30747
2023-07-01,Cyprus,paid_search,8016.74,837637,12474
2023-07-01,Cyprus,social,8683.32,1205767,21275
2023-07-01,Cyprus,affiliate,9616.07,785664,11227
2023-07-01,Cyprus,display,5760.54,393158,5545
2023-07-01,Serbia,paid_search,6463.22,550229,18416
2023-07-01,Serbia,social,5771.55,808357,37310
2023-07-01,Serbia,affiliate,9204.66,1285655,26825
2023-07-01,Serbia,display,10294.68,717545,31809
2023-08-01,Cyprus,paid_search,4175.97,313258,10521
2023-08-01,Cyprus,social,8188.03,711799,14279
2023-08-01,Cyprus,affiliate,7119.09,601107,28099
2023-08-01,Cyprus,display,7123.55,494370,20375
2023-08-01,Serbia,paid_search,10712.07,1491167,20353
2023-08-01,Serbia,social,12351.31,919350,16505
2023-08-01,Serbia,affiliate,10786.33,710090,16918
2023-08-01,Serbia,display,13986.74,919538,32912
2023-09-01,Cyprus,paid_search,8642.76,980670,39179
2023-09-01,Cyprus,social,9861.82,1378039,43969
2023-09-01,Cyprus,affiliate,6765.79,604879,17674
2023-09-01,Cyprus,display,8772.58,714195,14687
2023-09-01,Serbia,paid_search,6392.69,564039,15920
2023-09-01,Serbia,social,13247.72,1947916,31725
2023-09-01,Serbia,affiliate,13748.1,2101626,81584
2023-09-01,Serbia,display,3968,285614,9573
2023-10-01,Cyprus,paid_search,6961.69,866657,25170
2023-10-01,Cyprus,social,9404.66,1243956,26881
2023-10-01,Cyprus,affiliate,5157.14,396709,7636
2023-10-01,Cyprus,display,4782.07,595096,22730
2023-10-01,Serbia,paid_search,9224.78,782479,25142
2023-10-01,Serbia,social,13895.21,1180015,35560
2023-10-01,Serbia,affiliate,6761.63,459412,19610
2023-10-01,Serbia,display,4293.09,535833,23217
2023-11-01,Cyprus,paid_search,10925.46,1163851,33109
2023-11-01,Cyprus,social,7120.66,484521,13835
2023-11-01,Cyprus,affiliate,9306.39,1199299,15302
2023-11-01,Cyprus,display,14042.29,1300932,51139
2023-11-01,Serbia,paid_search,14595.38,1204148,33193
2023-11-01,Serbia,social,17994.49,1460565,32020
2023-11-01,Serbia,affiliate,16036.84,1097176,36717
2023-11-01,Serbia,display,10443.29,1296657,48621
2023-12-01,Cyprus,paid_search,14392.95,2150464,35984
2023-12-01,Cyprus,social,15085.67,2106941,35252
2023-12-01,Cyprus,affiliate,5069.8,392443,18368
2023-12-01,Cyprus,display,6254.62,902957,15485
2023-12-01,Serbia,paid_search,9723.99,1179131,37323
2023-12-01,Serbia,social,13878.86,1635239,73182
2023-12-01,Serbia,affiliate,7670.36,1187340,39908
2023-12-01,Serbia,display,7700.21,556379,7495
2024-01-01,Cyprus,paid_search,3361.45,354258,9859
2024-01-01,Cyprus,social,6507.26,433541,12164
2024-01-01,Cyprus,affiliate,9454.89,1037391,16337
2024-01-01,Cyprus,display,4904.52,377928,10985
2024-01-01,Serbia,paid_search,13614.96,1314603,26366
2024-01-01,Serbia,social,9354.58,1178987,34585
2024-01-01,Serbia,affiliate,4715.62,399301,6647
2024-01-01,Serbia,display,9306.42,1415694,28012
2024-02-01,Cyprus,paid_search,3342.35,245934,5253
2024-02-01,Cyprus,social,10408.84,1303905,52686
2024-02-01,Cyprus,affiliate,4120.66,591807,24195
2024-02-01,Cyprus,display,9926.77,1556883,61916
2024-02-01,Serbia,paid_search,9314.67,1413441,30402
2024-02-01,Serbia,social,10009.81,1284827,58579
2024-02-01,Serbia,affiliate,12530.71,1911952,71213
2024-02-01,Serbia,display,10841.55,821316,36265
2024-03-01,Cyprus,paid_search,7576.23,627970,27558
2024-03-01,Cyprus,social,3761.57,266921,5418
2024-03-01,Cyprus,affiliate,9928.01,1579858,45013
2024-03-01,Cyprus,display,6813.32,529853,24778
2024-03-01,Serbia,paid_search,12906.95,1018916,13553
2024-03-01,Serbia,social,5856.28,458329,10984
2024-03-01,Serbia,affiliate,4561.35,345560,13739
2024-03-01,Serbia,display,11569.21,890781,38972
2024-04-01,Cyprus,paid_search,5860.59,664109,10702
2024-04-01,Cyprus,social,3638.38,481784,14600
2024-04-01,Cyprus,affiliate,3916.68,611007,16088
2024-04-01,Cyprus,display,6904.6,937694,30927
2024-04-01,Serbia,paid_search,7507.75,775903,29244
2024-04-01,Serbia,social,9862.59,1546681,33096
2024-04-01,Serbia,affiliate,7839.09,555843,25115
2024-04-01,Serbia,display,7453.68,961921,12200
2024-05-01,Cyprus,paid_search,4322.6,327548,6892
2024-05-01,Cyprus,social,7262.44,640928,26358
2024-05-01,Cyprus,affiliate,6445.24,755008,10249
2024-05-01,Cyprus,display,5647.42,860975,22895
2024-05-01,Serbia,paid_search,12992.66,1376744,19628
2024-05-01,Serbia,social,6298.48,639852,10879
2024-05-01,Serbia,affiliate,10963.62,1445471,23930
2024-05-01,Serbia,display,8989.24,1274323,21220
2024-06-01,Cyprus,paid_search,8573.65,1116846,48025
2024-06-01,Cyprus,social,8512.28,1112473,48228
2024-06-01,Cyprus,affiliate,6059.3,442441,15120
2024-06-01,Cyprus,display,10608.81,1464827,33698
2024-06-01,Serbia,paid_search,5652.22,761910,13862
2024-06-01,Serbia,social,4816.42,638915,27110
2024-06-01,Serbia,affiliate,8655.57,632756,20746
2024-06-01,Serbia,display,6609.19,617920,12231
2024-07-01,Cyprus,paid_search,5378.9,578461,18911
2024-07-01,Cyprus,social,7001.96,675531,26296
2024-07-01,Cyprus,affiliate,5634.83,433715,18942
2024-07-01,Cyprus,display,10584.98,1375277,19337
2024-07-01,Serbia,paid_search,7317.23,837648,37309
2024-07-01,Serbia,social,4443.17,670514,11347
2024-07-01,Serbia,affiliate,9139.4,1366254,49122
2024-07-01,Serbia,display,12324.96,1205149,34610
2024-08-01,Cyprus,paid_search,6201.76,770300,13963
