order_item_id,order_id,product_id,quantity,unit_price_eur,discount_pct,line_net_amount_eur
I00000001,O0000001,P0212,1,80.32,0,80.32
I00000002,O0000002,P0167,1,56.21,0.04,53.96
I00000003,O0000003,P0106,1,601.3,0,601.3
I00000004,O0000004,P0034,1,28.06,0,28.06
I00000005,O0000004,P0151,1,79.86,0.07,74.27
I00000006,O0000005,P0229,1,28.54,0.09,25.97
I00000007,O0000006,P0070,2,80.6,0.07,149.92
I00000008,O0000007,P0023,1,73.2,0,73.2
I00000009,O0000008,P0204,1,219.19,0,219.19
I00000010,O0000009,P0061,2,21.16,0,42.32
I00000011,O0000010,P0088,1,64,0,64
I00000012,O0000010,P0016,1,96.59,0,96.59
I00000013,O0000011,P0050,2,183,0,366
I00000014,O0000012,P0162,2,109.8,0.07,204.23
I00000015,O0000013,P0202,1,45.36,0.04,43.55
I00000016,O0000013,P0059,1,219.06,0.06,205.92
I00000017,O0000014,P0168,1,76.99,0,76.99
I00000018,O0000014,P0125,1,86.12,0,86.12
I00000019,O0000015,P0110,1,784.02,0,784.02
I00000020,O0000016,P0110,1,830.03,0,830.03
I00000021,O0000016,P0108,1,294.04,0.08,270.52
I00000022,O0000017,P0037,1,145.25,0.01,143.8
I00000023,O0000017,P0166,4,570.63,0,2282.52
I00000024,O0000017,P0140,3,14,0,42
I00000025,O0000018,P0127,1,11.05,0,11.05
I00000026,O0000019,P0142,1,139.58,0.09,127.02
I00000027,O0000019,P0084,1,37.67,0.05,35.79
I00000028,O0000020,P0012,1,189.83,0,189.83
I00000029,O0000020,P0109,2,81.85,0,163.7
I00000030,O0000020,P0139,1,128.36,0,128.36
I00000031,O0000020,P0233,1,89.66,0,89.66
I00000032,O0000021,P0152,1,376.74,0,376.74
I00000033,O0000022,P0124,1,15.28,0.06,14.36
I00000034,O0000022,P0178,1,3.61,0,3.61
I00000035,O0000023,P0182,2,126.65,0,253.3
I00000036,O0000024,P0203,1,65.86,0.07,61.25
I00000037,O0000025,P0183,1,12.82,0,12.82
I00000038,O0000025,P0224,1,34.81,0,34.81
I00000039,O0000025,P0179,1,367.62,0,367.62
I00000040,O0000026,P0204,1,215.14,0,215.14
