order_id,order_date,customer_id,store_id,country,sales_channel,order_status,payment_method,gross_amount_eur,discount_amount_eur,net_amount_eur
O0000001,2023-03-10,,,Cyprus,marketplace,completed,card,80.32,0,80.32
O0000002,2023-07-01,C008506,,Serbia,marketplace,completed,card,56.21,2.25,53.96
O0000003,2023-01-20,C005380,,Cyprus,mobile_app,completed,wallet,601.3,0,601.3
O0000004,2025-09-23,C007303,,Serbia,web,completed,wallet,107.92,5.59,102.33
O0000005,2023-03-18,C000343,,Serbia,web,completed,wallet,28.54,2.57,25.97
O0000006,2025-06-19,C011748,,Serbia,web,completed,card,161.2,11.28,149.92
O0000007,2025-01-22,C008572,S014,Serbia,store,completed,card,73.2,0,73.2
O0000008,2023-05-23,C011868,S005,Serbia,store,completed,card,219.19,0,219.19
O0000009,2024-03-15,C011362,S004,Serbia,store,cancelled,cash,42.32,0,42.32
O0000010,2024-03-09,C001600,,Serbia,web,completed,card,160.59,0,160.59
O0000011,2025-03-07,C003660,S016,Serbia,store,completed,cash,366,0,366
O0000012,2023-08-21,C010694,,Cyprus,web,completed,wallet,219.6,15.37,204.23
O0000013,2025-09-20,C002166,,Cyprus,mobile_app,completed,card,264.42,14.95,249.47
O0000014,2024-11-04,C001756,S016,Serbia,store,completed,card,163.11,0,163.11
O0000015,2025-07-05,C002654,,Cyprus,web,completed,card,784.02,0,784.02
O0000016,2024-06-03,C003481,S013,Cyprus,store,completed,cash,1124.07,23.52,1100.55
O0000017,2025-12-09,C005362,S013,Cyprus,store,completed,card,2469.77,1.45,2468.32
O0000018,2023-08-26,C011417,,Serbia,mobile_app,cancelled,card,11.05,0,11.05
O0000019,2024-10-15,C005011,,Cyprus,marketplace,completed,wallet,177.25,14.44,162.81
O0000020,2025-11-05,C009704,,Serbia,web,refunded,card,571.55,0,571.55
O0000021,2023-11-29,C009902,,Serbia,web,completed,bank_transfer,376.74,0,376.74
O0000022,2023-04-02,C001976,,Serbia,mobile_app,completed,bank_transfer,18.89,0.92,17.97
O0000023,2024-08-06,C003163,,Serbia,web,completed,bank_transfer,253.3,0,253.3
O0000024,2024-08-05,C010402,,Serbia,web,completed,card,65.86,4.61,61.25
O0000025,2023-01-11,C004322,,Cyprus,mobile_app,completed,bank_transfer,415.25,0,415.25
O0000026,2024-11-14,C009096,S004,Serbia,store,completed,card,450.58,0,450.58
O0000027,2024-01-09,C002051,,Serbia,marketplace,completed,wallet,297.04,4,293.04
O0000028,2023-01-24,C009746,,Cyprus,mobile_app,completed,card,7.9,0,7.9
O0000029,2025-11-14,C009126,,Serbia,mobile_app,completed,card,225.22,0,225.22
O0000030,2025-11-02,C011354,,Cyprus,web,completed,card,286.55,41.24,245.31
O0000031,2023-02-20,C011704,,Serbia,mobile_app,refunded,card,103.63,9.33,94.3
O0000032,2025-08-22,C003235,S011,Cyprus,store,completed,card,31.11,2.18,28.93
O0000033,2024-07-03,C007681,S016,Serbia,store,completed,cash,134.17,2.61,131.56
O0000034,2023-10-23,C007945,,Cyprus,web,completed,card,36.14,0,36.14
O0000035,2024-12-12,C000231,S009,Cyprus,store,completed,card,644.96,11.03,633.93
O0000036,2025-05-22,C001401,S014,Serbia,store,completed,card,246.97,0,246.97
O0000037,2023-10-16,C008962,,Cyprus,marketplace,completed,card,125.08,5.73,119.35
O0000038,2025-09-26,C010272,S004,Serbia,store,completed,card,77.2,0,77.2
O0000039,2025-08-26,,S010,Serbia,store,completed,card,282.33,2.15,280.18
O0000040,2025-12-25,C008022,,Cyprus,marketplace,completed,card,287.54,7.34,280.2
O0000041,2025-01-09,C000180,,Cyprus,mobile_app,cancelled,bank_transfer,404.94,4,400.94
O0000042,2025-03-14,C002343,S014,Serbia,store,completed,card,480.63,2.14,478.49
