return_id,order_id,order_item_id,return_date,return_reason,refund_amount_eur,return_status
R0000001,O0000004,I00000004,2025-10-18,wrong_size,28.06,approved
R0000002,O0000020,I00000028,2025-11-22,changed_mind,189.83,approved
R0000003,O0000022,I00000033,2023-05-01,late_delivery,14.36,rejected
R0000004,O0000031,I00000049,2023-02-28,not_as_expected,94.3,approved
R0000005,O0000036,I00000059,2025-06-19,late_delivery,145.58,approved
R0000006,O0000085,I00000156,2023-05-28,not_as_expected,78.3,approved
R0000007,O0000088,I00000160,2025-12-04,damaged,174.5,approved
R0000008,O0000094,I00000173,2025-10-13,damaged,13.72,approved
R0000009,O0000098,I00000185,2025-03-19,wrong_size,37.92,approved
R0000010,O0000139,I00000269,2024-10-27,damaged,185.12,approved
R0000011,O0000155,I00000299,2024-01-21,damaged,96.4,approved
R0000012,O0000158,I00000305,2023-08-15,not_as_expected,68.4,approved
R0000013,O0000160,I00000309,2024-06-23,not_as_expected,70.14,approved
R0000014,O0000176,I00000337,2025-09-18,changed_mind,3.46,approved
R0000015,O0000180,I00000342,2025-01-01,changed_mind,44.21,approved
R0000016,O0000208,I00000406,2024-01-21,changed_mind,70.9,approved
R0000017,O0000211,I00000410,2023-11-05,not_as_expected,18.16,rejected
R0000018,O0000216,I00000417,2024-07-02,wrong_size,34.81,approved
R0000019,O0000225,I00000439,2024-01-01,not_as_expected,66.46,approved
R0000020,O0000244,I00000479,2024-03-14,changed_mind,274.33,approved
R0000021,O0000246,I00000481,2023-08-10,changed_mind,697.99,approved
R0000022,O0000258,I00000502,2024-06-27,changed_mind,9.55,approved
R0000023,O0000264,I00000512,2023-05-26,late_delivery,123,rejected
R0000024,O0000268,I00000519,2023-08-27,not_as_expected,20.82,approved
R0000025,O0000281,I00000544,2024-12-16,not_as_expected,248.26,approved
R0000026,O0000300,I00000590,2025-08-16,damaged,20.18,approved
R0000027,O0000306,I00000600,2025-02-15,damaged,200.69,rejected
R0000028,O0000312,I00000614,2025-09-23,changed_mind,4.24,approved
R0000029,O0000321,I00000631,2025-06-01,wrong_size,96.16,approved
R0000030,O0000328,I00000646,2024-04-06,not_as_expected,22.59,approved
R0000031,O0000335,I00000662,2023-06-26,damaged,27.11,approved
R0000032,O0000386,I00000764,2023-12-21,changed_mind,80.3,approved
R0000033,O0000389,I00000772,2026-01-21,changed_mind,188.47,approved
R0000034,O0000390,I00000773,2024-07-19,changed_mind,216.59,approved
R0000035,O0000393,I00000782,2023-10-10,damaged,184.41,approved
R0000036,O0000420,I00000831,2024-03-28,damaged,31.52,approved
R0000037,O0000424,I00000839,2023-11-13,damaged,166.96,approved
R0000038,O0000425,I00000842,2023-08-31,damaged,104.32,approved
R0000039,O0000432,I00000857,2024-12-27,not_as_expected,9.83,approved
R0000040,O0000437,I00000870,2024-04-16,damaged,81.85,approved
R0000041,O0000439,I00000874,2023-08-14,not_as_expected,5.2,approved
R0000042,O0000443,I00000887,2024-12-11,damaged,82.72,approved
R0000043,O0000453,I00000906,2023-09-18,late_delivery,12.49,approved
R0000044,O0000459,I00000921,2024-05-01,damaged,11.35,approved
R0000045,O0000461,I00000925,2024-06-06,wrong_size,657.04,approved
R0000046,O0000463,I00000927,2024-02-10,wrong_size,35.28,approved
R0000047,O0000479,I00000960,2024-05-24,changed_mind,10.25,approved
R0000048,O0000481,I00000965,2025-10-03,damaged,57.25,approved
R0000049,O0000500,I00001002,2024-12-04,not_as_expected,205.34,approved
R0000050,O0000510,I00001022,2023-11-04,not_as_expected,73.59,approved
R0000051,O0000523,I00001048,2023-04-14,not_as_expected,30.88,approved
R0000052,O0000553,I00001103,2024-11-11,not_as_expected,69.41,approved
R0000053,O0000599,I00001204,2023-05-13,wrong_size,18.75,approved
R0000054,O0000612,I00001228,2023-05-01,not_as_expected,39.4,approved
R0000055,O0000616,I00001235,2024-09-08,wrong_size,39.41,approved
R0000056,O0000625,I00001257,2024-11-10,not_as_expected,18.55,approved
R0000057,O0000650,I00001305,2024-09-28,damaged,162.88,approved
R0000058,O0000672,I00001344,2024-04-03,not_as_expected,110.01,rejected
R0000059,O0000684,I00001372,2024-11-07,late_delivery,212.26,approved
R0000060,O0000690,I00001390,2023-12-10,not_as_expected,71.22,approved
R0000061,O0000701,I00001414,2025-12-25,not_as_expected,10.2,approved
R0000062,O0000718,I00001453,2024-04-09,damaged,15.18,approved
R0000063,O0000742,I00001497,2024-04-04,not_as_expected,1576.34,approved
R0000064,O0000747,I00001507,2025-01-01,damaged,64.1,approved
R0000065,O0000765,I00001540,2025-03-17,wrong_size,55.02,approved
R0000066,O0000770,I00001552,2023-09-11,changed_mind,27.42,approved
R0000067,O0000779,I00001571,2025-11-18,not_as_expected,133.1,approved
R0000068,O0000781,I00001575,2025-08-07,damaged,4.63,approved
R0000069,O0000785,I00001582,2025-12-25,not_as_expected,164.16,approved
R0000070,O0000797,I00001603,2025-12-27,wrong_size,67.51,approved
R0000071,O0000799,I00001605,2025-02-26,damaged,28.05,approved
R0000072,O0000801,I00001609,2025-07-12,damaged,103.65,approved
R0000073,O0000821,I00001654,2024-12-22,damaged,1044.82,approved
R0000074,O0000842,I00001702,2024-01-03,not_as_expected,77.34,approved
R0000075,O0000864,I00001752,2023-01-20,wrong_size,4.37,approved
R0000076,O0000872,I00001768,2024-12-08,not_as_expected,101.58,approved
R0000077,O0000876,I00001777,2023-08-22,changed_mind,13.69,approved
R0000078,O0000893,I00001808,2025-07-16,not_as_expected,4.14,approved
R0000079,O0000911,I00001843,2023-05-24,changed_mind,242.02,rejected
R0000080,O0000926,I00001873,2024-08-29,late_delivery,59.46,approved
R0000081,O0000931,I00001886,2023-11-12,late_delivery,43.52,approved
R0000082,O0000934,I00001891,2023-10-07,wrong_size,51.9,approved
R0000083,O0000952,I00001925,2025-10-25,changed_mind,79.78,approved
R0000084,O0001001,I00002029,2024-04-08,damaged,23.6,approved
R0000085,O0001006,I00002042,2024-11-18,not_as_expected,1695.87,approved
R0000086,O0001011,I00002048,2023-04-05,wrong_size,57.63,approved
R0000087,O0001018,I00002062,2023-10-25,not_as_expected,426.4,rejected
R0000088,O0001022,I00002071,2023-10-21,changed_mind,79.87,approved
R0000089,O0001034,I00002093,2025-11-05,not_as_expected,98,approved
R0000090,O0001039,I00002104,2023-07-25,not_as_expected,196.18,approved
R0000091,O0001076,I00002180,2025-09-15,late_delivery,80.17,approved
R0000092,O0001077,I00002182,2024-08-09,wrong_size,98.23,approved
R0000093,O0001080,I00002187,2023-11-12,late_delivery,85.69,approved
R0000094,O0001085,I00002195,2024-07-15,damaged,9.9,approved
R0000095,O0001129,I00002282,2023-02-14,not_as_expected,212.45,approved
R0000096,O0001144,I00002312,2025-09-18,damaged,200.95,approved
R0000097,O0001147,I00002316,2023-12-06,not_as_expected,5.84,approved
R0000098,O0001148,I00002319,2024-05-24,changed_mind,99.75,approved
R0000099,O0001160,I00002338,2024-02-22,damaged,22.99,approved
R0000100,O0001164,I00002349,2025-10-18,wrong_size,418.81,approved
R0000101,O0001186,I00002397,2025-06-02,damaged,216.11,approved
R0000102,O0001216,I00002452,2023-06-10,wrong_size,118.39,approved
R0000103,O0001232,I00002477,2024-07-12,late_delivery,1146.18,approved
R0000104,O0001238,I00002489,2025-10-11,not_as_expected,89.62,approved
R0000105,O0001240,I00002495,2024-01-26,wrong_size,7.9,approved
R0000106,O0001244,I00002501,2023-08-21,wrong_size,66.68,approved
R0000107,O0001249,I00002510,2023-01-27,not_as_expected,97.78,approved
R0000108,O0001261,I00002535,2024-03-02,damaged,26.82,approved
R0000109,O0001278,I00002563,2024-07-13,wrong_size,57.22,approved
R0000110,O0001281,I00002571,2023-09-28,wrong_size,182.42,approved
R0000111,O0001292,I00002589,2024-11-27,not_as_expected,30.33,approved
R0000112,O0001293,I00002590,2025-02-13,changed_mind,73.94,approved
R0000113,O0001297,I00002599,2024-09-22,wrong_size,56.46,approved
R0000114,O0001325,I00002653,2024-11-08,damaged,46.8,approved
R0000115,O0001326,I00002656,2023-11-26,not_as_expected,187.5,approved
R0000116,O0001327,I00002659,2024-07-28,damaged,7.83,approved
R0000117,O0001351,I00002697,2024-01-26,not_as_expected,3.26,rejected
R0000118,O0001359,I00002716,2024-12-23,wrong_size,43.03,approved
R0000119,O0001405,I00002799,2025-07-03,changed_mind,6.87,approved
R0000120,O0001412,I00002819,2025-03-18,not_as_expected,9.39,approved
